Ship,Date,country,shiptype,captain_name
iquafb,19-07-1919,Chile,Bulk Carrier,Rigil Kentaurus
hemwsu,12-04-1607,United States (USA),Container Ship,Nahn
zilfct,21-09-1739,Norway,Crude Oil Tanker,Alula Australis
ftcaxr,02-02-1835,Turkey,Crude Oil Tanker,Prima Hyadum
xmgmhy,16-07-1952,Malaysia,Bulk Carrier,Fang
ccxhuv,27-09-2009,Turkey,Bulk Carrier,Alfirk
dpwfus,17-09-1900,China,LNG Tanker,La Superba
crrzag,18-02-1877,Philippines,LNG Tanker,Unukalhai
xulxof,25-09-1883,Chile,Bulk Carrier,Zaniah
wmikys,11-08-1721,Canada,Container Ship,Larawag
aljadf,15-01-1533,Canada,LNG Tanker,Tania Borealis
charzo,04-02-2009,United Kingdom (UK),Bulk Carrier,Acrux
amxyst,08-04-1602,United Kingdom (UK),LNG Tanker,Castula
rqbkxa,15-04-1909,United States (USA),LNG Tanker,Unukalhai
otksqg,15-03-1925,Nauru,Crude Oil Tanker,Hatysa
avrdwj,12-11-1568,Japan,Container Ship,Wasat
ouddwj,08-01-1701,China,LNG Tanker,Tabit
tpnlaa,17-10-1664,Japan,Container Ship,Alruba
rcaqtv,04-11-1636,Sweden,Crude Oil Tanker,Vindemiatrix
cnhqqg,02-09-1745,Sweden,Container Ship,Cervantes
wxuknt,22-01-1643,Canada,Container Ship,Algedi
aplznw,18-09-1709,Germany,LNG Tanker,Aspidiske
daaxal,23-05-1752,US Minor Outlying Isls,Bulk Carrier,Izar
mysalm,02-01-1918,Greece,Crude Oil Tanker,Fang
uitwzo,05-02-1639,United States (USA),Container Ship,Achird
fhznie,27-10-1502,Norway,Container Ship,Atik
civete,06-12-1796,United Kingdom (UK),Passenger (Cruise) Ship,Intercrus
aicvbm,18-02-1870,Faeroe Islands,LNG Tanker,Libertas
tsiyvv,15-04-1787,Sweden,Bulk Carrier,Betelgeuse
fzngad,24-06-1878,Denmark,LNG Tanker,Maasym
zmnvmc,09-03-1945,Netherlands,Crude Oil Tanker,Baten Kaitos
euzsaw,18-07-1564,Sweden,Container Ship,Merga
vuiwyl,24-03-1866,Norway,LNG Tanker,Merak
ugsyaj,17-05-1579,Angola,Bulk Carrier,Helvetios
jjdvhw,07-02-1629,Italy,Bulk Carrier,Gudja
ngogdy,08-01-1668,Nauru,Bulk Carrier,Sulafat
uucjlr,12-04-1651,Canada,Crude Oil Tanker,Zaurak
tyqfuw,13-02-1981,United States (USA),Crude Oil Tanker,Alsephina
kkpmqg,10-01-1915,Brazil,Passenger (Cruise) Ship,Sadalsuud
zlimpb,08-10-1990,United States (USA),Crude Oil Tanker,Acrab
dxdvvb,08-06-1608,Spain,Passenger (Cruise) Ship,Alsafi
mcpynl,06-04-1567,Madagascar,Container Ship,Alnasl
isptbb,25-09-1680,Spain,Bulk Carrier,Canopus
xbvdif,12-12-1655,Croatia,Container Ship,Aladfar
xftuxo,24-12-1897,Denmark,Container Ship,Beemim
trcplb,05-08-1765,Chile,Bulk Carrier,Phecda
iadcvb,01-02-1651,Croatia,Container Ship,Adhil
bcmlnv,12-06-1623,United States (USA),Crude Oil Tanker,Praecipua
eqlmzv,25-08-1688,Norway,Container Ship,Acrab
jqzuhk,15-08-1586,United Kingdom (UK),Crude Oil Tanker,Piautos
onvmvk,29-08-1775,Japan,Bulk Carrier,Fang
qhuiea,25-06-1525,Norway,Bulk Carrier,Menkib
xcujtb,17-12-1766,Mexico,Bulk Carrier,Arneb
rxzmtc,27-06-1668,Japan,Container Ship,Imai
pbfjdn,09-10-1777,Sweden,Crude Oil Tanker,Kaus Australis
muoaks,23-02-1569,Mauritius,Container Ship,Merope
dwxbjl,09-01-1893,Brazil,Bulk Carrier,Anser
kvkvoc,19-05-1505,United States (USA),Container Ship,Adhafera
ydczqo,20-03-1885,Haiti,Container Ship,Shaula
yywnck,02-06-1773,Japan,Bulk Carrier,Polaris Australis
pehpoi,12-10-1951,Chile,LNG Tanker,Muscida
leircq,20-03-1885,Russia,Container Ship,Mekbuda
ozhagu,08-03-1873,United States (USA),Container Ship,Yildun
rvbiyk,26-01-1643,Japan,LNG Tanker,Fumalsamakah
wgsyvd,14-03-2010,Nicaragua,Passenger (Cruise) Ship,Caph
rfcdhd,08-07-1782,United Arab Emirates (UAE),Bulk Carrier,Libertas
qkwgmy,06-01-1553,Dominican Rep,Bulk Carrier,Torcular
rqkgey,09-04-1771,Bulgaria,Bulk Carrier,Chara
mhlfdl,12-12-1655,United States (USA),Bulk Carrier,Alkalurops
osmnxn,24-09-1542,Fiji,Container Ship,Phact
jvduxe,26-12-1562,Sweden,Bulk Carrier,Taiyangshou
roiuwp,11-11-1869,China,Passenger (Cruise) Ship,Tabit
wgirsx,02-07-1756,Haiti,Bulk Carrier,Wasat
ovqxky,04-03-1526,Sweden,LNG Tanker,Alshain
ammigs,02-12-1509,Egypt,Container Ship,Homam
gywrfr,18-12-1751,United States (USA),LNG Tanker,Jishui
vggvga,28-09-1973,Papua New Guinea,Bulk Carrier,Achernar
mrxzjc,25-06-1946,United States (USA),Crude Oil Tanker,Cor Caroli
isqcdk,12-07-1503,Sweden,Bulk Carrier,Zaniah
fuxqhc,12-01-1954,Canada,Container Ship,Fawaris
oofghs,25-03-1900,United States (USA),Bulk Carrier,Grumium
gcrifj,12-09-1980,Norway,Container Ship,Caph
idzuuo,18-10-1751,Sweden,Bulk Carrier,Cebalrai
qczixu,26-10-1575,Philippines,Container Ship,Rigil Kentaurus
yrjyja,14-03-1954,Brazil,Crude Oil Tanker,Enif
gudbya,12-09-1914,Portugal,Container Ship,Scheat
vstpzx,23-08-1879,United Kingdom (UK),Bulk Carrier,Misam
ueuwpz,11-06-1564,Netherlands,LNG Tanker,Adhafera
uyjtdr,03-01-1572,United Kingdom (UK),Container Ship,Xuange
rnbdzb,26-06-1925,Greece,Container Ship,Rotanev
ucduhz,22-01-1979,Poland,Crude Oil Tanker,Kang
qkwgmy,09-01-1603,Canada,Container Ship,Beemim
pnvprq,13-03-1654,Estonia,Passenger (Cruise) Ship,Altais
psnkki,29-01-1604,Croatia,LNG Tanker,Taiyangshou
gmcdzg,01-06-1720,Cyprus,LNG Tanker,Segin
imxfad,29-03-1753,Japan,Container Ship,Gudja
aarwwr,30-04-1712,Norway,Crude Oil Tanker,Sadalmelik
ebbgac,25-10-1872,United States (USA),Crude Oil Tanker,Homam
bjlkvc,14-02-1749,Germany,Container Ship,Rasalgethi
bnaywf,17-06-1920,Japan,Passenger (Cruise) Ship,Suhail
eksxta,10-03-1741,Australia,Bulk Carrier,Fuyue
guqqfx,03-06-1763,Estonia,Container Ship,Tiaki
fmgzxm,18-03-1615,United States (USA),Container Ship,Ukdah
xvoceh,30-07-1898,Italy,Passenger (Cruise) Ship,Mirzam
bibxnn,22-09-1611,Faeroe Islands,Passenger (Cruise) Ship,Cor Caroli
vzmxzr,06-09-1839,United Kingdom (UK),Container Ship,Alphecca
bdlkde,03-11-1810,United States (USA),Bulk Carrier,Chara
crjoag,16-01-1899,United States (USA),Bulk Carrier,Vega
vcbbso,30-03-1890,Norway,Bulk Carrier,Fomalhaut
unbiuq,12-06-1562,Japan,Crude Oil Tanker,Acubens
gihdsx,11-01-1684,Argentina,Crude Oil Tanker,Regulus
wteaxp,21-10-1668,Sweden,Bulk Carrier,Denebola
cynfpx,06-12-1554,Iceland,Passenger (Cruise) Ship,Tejat
onmxek,14-03-1898,Canada,Crude Oil Tanker,Nihal
nbqmeg,25-06-1675,Spain,Bulk Carrier,Ascella
mlgiux,16-07-1967,Chile,Bulk Carrier,Kang
mmcngm,18-10-1503,United Kingdom (UK),Crude Oil Tanker,Tureis
qivgdj,27-05-1821,Norway,Crude Oil Tanker,Arneb
xssroy,05-11-1831,Greece,Bulk Carrier,Arneb
mrxzjc,08-05-1526,Norway,Bulk Carrier,Alkalurops
dkatus,28-02-1716,United States (USA),FSO,Izar
vbvybs,11-12-1750,Italy,LNG Tanker,Alfirk
ufvfpc,01-05-1896,Turkmenistan,Crude Oil Tanker,Fuyue
ottkze,09-09-1557,Turkey,Bulk Carrier,Nekkar
qyerfo,21-01-2009,South Africa,Bulk Carrier,Alya
wxobqp,12-05-1919,Chile,Bulk Carrier,Almach
kyeukn,01-02-1791,India,Bulk Carrier,Albaldah
bqcoxe,28-08-1825,Norway,Container Ship,Rasalas
cdwmva,09-04-1757,United Kingdom (UK),Container Ship,Kochab
swdsbc,15-06-1812,United Kingdom (UK),Container Ship,Jishui
ozxvom,11-12-1684,Brazil,Bulk Carrier,Libertas
mmcngm,24-01-1805,United Kingdom (UK),Crude Oil Tanker,Aspidiske
trvkgy,06-12-1965,United Kingdom (UK),Bulk Carrier,Ukdah
rtdaum,20-07-1692,Poland,Bulk Carrier,Sheliak
oqkptg,20-05-1863,Japan,Bulk Carrier,Tarf
dcwglm,24-04-1880,China,LNG Tanker,Denebola
lupdog,03-08-1818,Canada,Bulk Carrier,Homam
zmpntf,23-07-1987,Poland,Crude Oil Tanker,Felis
dtilfc,04-08-1551,China,Bulk Carrier,Pipirima
zzapxe,22-02-1913,Japan,Container Ship,Achird
xoftjr,08-12-1668,United Kingdom (UK),Passenger (Cruise) Ship,Algedi
vcagei,13-06-1819,Turkey,LNG Tanker,Fafnir
xozyyj,15-10-1783,Germany,Container Ship,Aldebaran
tgpfwq,07-05-1616,Greece,Bulk Carrier,Zhang
yyzyeh,11-05-1861,United Kingdom (UK),Bulk Carrier,Larawag
rjucil,26-10-1620,Netherlands,Bulk Carrier,Alzirr
kkjqrx,09-09-1903,Greece,Crude Oil Tanker,Beemim
ofnrrm,26-07-1730,United Kingdom (UK),Bulk Carrier,Ancha
chkxhv,02-11-1708,India,Bulk Carrier,Arkab Posterior
cppasv,19-04-1976,Norway,Bulk Carrier,Hassaleh
blhlva,03-09-1875,Greece,Bulk Carrier,Kaffaljidhma
yqucyz,11-09-1521,Italy,LNG Tanker,Sceptrum
uslnym,10-12-1872,Chile,Bulk Carrier,Kochab
lbselv,26-09-1626,France,Container Ship,Elkurud
vrmguy,26-09-1785,Greece,Bulk Carrier,Tania Australis
xjtsbp,19-02-1645,United States (USA),Bulk Carrier,Matar
dgqauy,28-02-1890,Argentina,Container Ship,Mekbuda
jzgfin,12-09-1882,China,Bulk Carrier,Kraz
kjfwsd,22-07-1768,Belgium,Bulk Carrier,Mirzam
rikhmn,26-07-1730,United Kingdom (UK),Passenger (Cruise) Ship,Canopus
nnemdg,08-02-1697,Togolese Rep,Container Ship,Cursa
kaoafl,02-09-1518,Portugal,Bulk Carrier,Copernicus
sznqdt,18-04-1898,Isle of Man,Bulk Carrier,Betelgeuse
cemftq,08-03-1679,Nicaragua,Bulk Carrier,Albaldah
hvbosr,19-12-1688,Chile,Container Ship,Merga
pdwouj,22-07-1736,Greece,Container Ship,Tianguan
rrdjme,25-05-1505,Bulgaria,Bulk Carrier,Mahasim
zitjkr,02-08-2002,Sweden,Crude Oil Tanker,Alzirr
nswpfn,21-06-1712,Italy,Crude Oil Tanker,Kaus Media
wdvdjo,05-07-1963,United Kingdom (UK),Container Ship,Izar
gggfgu,26-01-1657,Norway,Container Ship,Arcturus
vntcqu,04-12-1619,Estonia,Container Ship,Mirfak
aoqudd,19-10-1830,India,Container Ship,Chertan
kkpztr,08-04-1619,Sweden,LNG Tanker,Algieba
omubse,05-05-1972,Japan,Bulk Carrier,Chamukuy
kuzvur,30-07-1883,Faeroe Islands,Crude Oil Tanker,Biham
thsolq,26-08-1530,Chile,LNG Tanker,Almaaz
jvduxe,29-09-1702,Netherlands,Bulk Carrier,Atlas
hwrnen,14-11-1735,Egypt,Bulk Carrier,Miaplacidus
ngwoow,08-12-1582,Argentina,Bulk Carrier,Haedus
gyxtmj,06-03-1869,Papua New Guinea,Passenger (Cruise) Ship,Arneb
zaqzgr,21-04-1530,Argentina,Bulk Carrier,Guniibuu
nnbkhx,12-12-1573,United States (USA),LNG Tanker,Algenib
cbhxnp,21-05-1502,Sweden,LNG Tanker,Mesarthim
gyznhc,17-12-1656,United States (USA),Container Ship,Alruba
gcjnil,04-12-1619,Faeroe Islands,Bulk Carrier,Paikauhale
fnrqlz,18-07-1879,Japan,Bulk Carrier,Ran
hecioq,04-06-1919,Canada,Container Ship,Taygeta
ynyhis,29-03-1768,United Kingdom (UK),Passenger (Cruise) Ship,Tianyi
fmvwfu,07-08-1638,Turkey,Container Ship,Tania Australis
wzbwfw,11-08-1700,Spain,Container Ship,Menkib
sxdicg,05-01-1964,Japan,Crude Oil Tanker,Ashlesha
oishzn,13-07-1969,United States (USA),LNG Tanker,Ran
rnjmlo,03-04-1986,New Zealand,LNG Tanker,Alrakis
sjpuai,21-04-1578,Sweden,Bulk Carrier,Asellus Borealis
qprvvl,27-02-1768,Sweden,Container Ship,Deneb
heeozd,08-05-1526,Norway,Container Ship,Gomeisa
zaczpx,28-02-1699,Angola,Container Ship,Fawaris
fwpeqm,04-04-1589,United Kingdom (UK),Container Ship,Segin
njfswf,27-06-1525,Indonesia,Bulk Carrier,Sceptrum
ijjrpy,19-11-1905,Russia,Crude Oil Tanker,Nashira
yydxom,18-03-1826,Greece,Bulk Carrier,Fafnir
jfixtl,19-07-1936,Cyprus,Crude Oil Tanker,Sadalmelik
hrujsk,23-07-1760,Egypt,LNG Tanker,Alula Borealis
ovbikb,27-11-1780,Belgium,Container Ship,Mintaka
nkqrko,24-05-1509,India,LNG Tanker,Aldebaran
uqakaq,18-12-1958,United States (USA),Bulk Carrier,Baten Kaitos
wdlcfu,24-01-1880,Japan,LNG Tanker,Adhara
bzruge,12-04-1573,Norway,Bulk Carrier,Yed Posterior
felgcl,04-09-1990,Panama,LNG Tanker,Titawin
vopfnj,05-05-1766,United States (USA),Bulk Carrier,Aspidiske
zdqbrw,30-07-1990,Canada,Bulk Carrier,Mizar
xjyxjp,28-02-1716,Canada,Passenger (Cruise) Ship,Kang
lposad,04-08-1650,Haiti,LNG Tanker,Asterope
asxycb,23-10-1664,Angola,Bulk Carrier,Zubenelhakrabi
bgnyvk,08-06-1685,Italy,Bulk Carrier,Alula Borealis
sxvega,11-04-1572,India,Passenger (Cruise) Ship,Zhang
pyuxvf,31-01-1521,Japan,Crude Oil Tanker,Helvetios
mbqclq,30-09-1993,United States (USA),LNG Tanker,Mira
tfalee,19-01-1514,Greece,Bulk Carrier,Zhang
bzxijj,06-08-1840,Italy,Bulk Carrier,Biham
utrgmm,20-07-1535,Dominican Rep,Bulk Carrier,Zibal
aatyby,30-03-1519,Japan,Container Ship,Mekbuda
aljadf,15-08-1757,Spain,Bulk Carrier,Arkab Prior
wkkzzb,05-10-1643,United Kingdom (UK),Passenger (Cruise) Ship,Unukalhai
cnhqqg,30-11-1826,Japan,Container Ship,Eltanin
gocnfx,27-07-1912,United Kingdom (UK),Container Ship,Capella
umchut,05-10-1932,Japan,Crude Oil Tanker,La Superba
xtcxas,18-10-1914,Japan,LNG Tanker,Tabit
giaqgy,03-08-1818,Norway,LNG Tanker,Ogma
qnhcte,15-02-1802,Japan,Crude Oil Tanker,Zhang
ymfxpk,14-04-1800,Fiji,Crude Oil Tanker,Menkent
onantd,20-10-1760,Brazil,Crude Oil Tanker,Jabbah
wzbwfw,28-12-1703,Sao Tome & Principe,LNG Tanker,Lich
srmuas,26-10-1795,United States (USA),Container Ship,Alchiba
sofsdr,17-06-1723,United Kingdom (UK),Container Ship,Nashira
utzher,16-12-1859,US Minor Outlying Isls,Container Ship,Tarazed
luosrn,25-06-1926,Greece,Passenger (Cruise) Ship,Praecipua
xxjehj,23-10-2009,Portugal,Bulk Carrier,Taiyi
lzcfnm,05-03-1829,Sweden,Bulk Carrier,Muscida
iciknb,10-10-1733,Japan,Crude Oil Tanker,Misam
leoydz,15-10-1834,Netherlands,LNG Tanker,Fulu
mhjkxw,26-05-1606,Sweden,Container Ship,Alnair
qtlftn,06-07-1956,United States (USA),Passenger (Cruise) Ship,Alnair
wvubpa,15-10-1861,Spain,LNG Tanker,Taiyi
exdkyv,07-10-1831,Korea,Bulk Carrier,Sulafat
vdpgvd,27-05-1837,France,Container Ship,Almach
szdmuo,23-12-1851,Canada,Container Ship,Ancha
aqpzhb,20-06-1508,Greece,Bulk Carrier,Giausar
zvjiea,08-02-1560,Kuwait,Container Ship,Atik
sjgwik,05-10-1726,Iceland,Crude Oil Tanker,Sulafat
ifiyjd,31-05-1681,Iceland,Bulk Carrier,Alphecca
mfrbwx,24-08-1947,United States (USA),Bulk Carrier,Nekkar
dekmqb,20-10-1527,Japan,Container Ship,Gudja
fjxeig,09-03-1939,Japan,Container Ship,Azelfafage
clzefk,11-03-1714,Papua New Guinea,Bulk Carrier,Spica
fqhzkn,30-10-1686,United States (USA),Crude Oil Tanker,Rasalas
mosaix,27-02-1876,Turkey,Bulk Carrier,Ankaa
igbrrk,06-04-1837,Japan,Bulk Carrier,Vega
frjoxv,13-12-1566,Japan,Container Ship,Zibal
mfujgw,14-02-1786,Turkey,Container Ship,Xamidimura
bkdtbj,23-12-1751,Argentina,Container Ship,Cervantes
wyuilw,05-08-1760,United Kingdom (UK),LNG Tanker,Hassaleh
vjdufy,03-02-1696,Sao Tome & Principe,Passenger (Cruise) Ship,Wazn
tgqydc,14-04-1800,United Kingdom (UK),Crude Oil Tanker,Dziban
bmmiwj,29-01-1509,Turkey,Container Ship,Misam
tqjndg,12-06-1607,Brazil,LNG Tanker,Aladfar
tzwrwl,06-08-1816,France,LNG Tanker,Zubenelhakrabi
rybuum,11-02-1698,Poland,LNG Tanker,Sargas
xxnoag,17-04-1532,Canada,Bulk Carrier,Bunda
zyvwfx,27-07-1912,Japan,Bulk Carrier,Zosma
vcqtqj,03-02-1747,Japan,Bulk Carrier,Kraz
hmuqco,04-04-1637,Sweden,Crude Oil Tanker,Sadachbia
awqzaa,12-11-1691,Japan,Crude Oil Tanker,Polaris Australis
azzfjs,08-01-1954,Japan,Container Ship,Muscida
irqbsr,29-04-1550,Montenegro,Bulk Carrier,Tania Australis
rkqxod,02-11-1675,Latvia,Bulk Carrier,Deneb
heupgw,14-08-1844,Norway,LNG Tanker,Alnilam
gsjhbr,23-02-1793,Turkey,Crude Oil Tanker,Ashlesha
zsfena,12-09-1914,Faeroe Islands,Bulk Carrier,Electra
rgxbwl,26-09-1785,United States (USA),Bulk Carrier,Azha
stegdz,27-02-1997,Norway,Bulk Carrier,Zaniah
gdiojn,15-12-1881,Croatia,LNG Tanker,Rasalgethi
aqcqlt,02-04-1815,Iceland,Passenger (Cruise) Ship,Deneb Algedi
minwtz,20-02-1562,Bahamas,Passenger (Cruise) Ship,Megrez
qjdvus,08-04-1820,Iceland,LNG Tanker,Rastaban
iszhnx,11-08-1626,United Kingdom (UK),LNG Tanker,Alsephina
okpthm,01-12-1856,United Kingdom (UK),Crude Oil Tanker,Castor
hwbvcw,24-01-1805,Japan,LNG Tanker,Marfik
vryppq,06-06-1834,Norway,Bulk Carrier,Mintaka
bkgqzg,26-03-1588,China,Offshore Support Vessel,Schedar
exwdtl,31-03-1509,China,Bulk Carrier,Athebyne
wxuknt,25-12-1927,Portugal,Container Ship,Procyon
rgqvkz,17-05-1511,Norway,LNG Tanker,Torcular
bsclkk,17-10-1971,United States (USA),LNG Tanker,Cujam
fvjfrw,15-11-1932,Norway,Bulk Carrier,Merga
jalbmt,25-09-1622,United Kingdom (UK),Crude Oil Tanker,Heze
wwhdxo,03-10-1526,France,Container Ship,Atria
acryxu,29-06-1845,Spain,LNG Tanker,Zubeneschamali
ukuflo,13-12-1588,United Kingdom (UK),LNG Tanker,Angetenar
gibakm,31-05-1940,Greece,Bulk Carrier,Dubhe
gyxtmj,11-12-1792,United States (USA),Bulk Carrier,Mahasim
nidsup,15-04-1938,Japan,Bulk Carrier,Salm
qglbgy,20-05-1585,Canada,Crude Oil Tanker,Fomalhaut
xtxnkk,31-08-1507,United Kingdom (UK),Bulk Carrier,Segin
ydvxoz,21-11-2004,United Kingdom (UK),Bulk Carrier,Ginan
wzlusf,13-12-1588,Turkey,Passenger (Cruise) Ship,Alnasl
iifugl,16-11-1736,Fiji,LNG Tanker,Ain
bmwbiq,26-06-1732,Faeroe Islands,LNG Tanker,Betelgeuse
nmxhvk,18-02-1830,Sao Tome & Principe,Crude Oil Tanker,Sheliak
wlatft,27-06-1623,Panama,Bulk Carrier,Giausar
glmvyy,14-10-1892,United States (USA),Container Ship,Sceptrum
smqnmv,02-12-1618,Sweden,LNG Tanker,Tarazed
bvehtk,18-04-1644,United States (USA),Bulk Carrier,Chalawan
dujcva,09-12-1518,Puerto Rico,Crude Oil Tanker,Khambalia
nmsdjf,25-11-1648,Greece,Container Ship,Libertas
ozszyl,10-07-1620,Indonesia,Container Ship,Meleph
wtscxy,30-08-1945,Togolese Rep,LNG Tanker,Matar
towmkn,11-02-1547,Turkey,Crude Oil Tanker,Tania Borealis
xavkyh,16-10-1935,Russia,Container Ship,Peacock
nlbezx,15-02-1659,Russia,Bulk Carrier,Arkab Posterior
thuwqy,09-09-1633,Iran,Container Ship,Rotanev
bkdtbj,24-03-1670,Sweden,Passenger (Cruise) Ship,Toliman
kmkucw,08-05-1713,United Kingdom (UK),Bulk Carrier,Barnard’s Star
gviajz,07-01-1721,Nauru,Crude Oil Tanker,Alphecca
qvzpaq,02-04-1877,Greece,Crude Oil Tanker,Giausar
tjnmxi,08-01-1729,Mexico,Bulk Carrier,Menkent
ntggmc,06-09-1943,Greece,Offshore Support Vessel,Markeb
dxqwxp,11-08-1700,Norway,Bulk Carrier,Xuange
gyfovw,03-06-1601,Japan,Bulk Carrier,Alderamin
yaqfvg,10-04-1614,Iceland,LNG Tanker,Rotanev
ovszui,29-04-1550,Netherlands,Crude Oil Tanker,Botein
jlykog,15-12-1692,Korea,Container Ship,Procyon
pwuwgb,30-10-1615,Canada,Crude Oil Tanker,Shaula
unafxa,27-01-1620,Solomon Islands,Crude Oil Tanker,Dabih
iggwav,30-11-1641,Canada,LNG Tanker,Misam
otemxb,09-04-1867,Sweden,Container Ship,Izar
wdzldi,12-09-1820,Indonesia,Container Ship,Homam
zgptxa,09-11-1998,Denmark,Crude Oil Tanker,Megrez
yodtbt,24-05-1622,Sweden,Container Ship,Beid
nnzpsj,18-07-1764,United States (USA),Bulk Carrier,Ginan
roclaw,31-01-1537,Italy,Bulk Carrier,Alsephina
rpdfqv,23-09-1864,Italy,Bulk Carrier,Chamukuy
xlovch,31-03-1810,United Kingdom (UK),Crude Oil Tanker,Tegmine
alftvi,28-09-1744,Faeroe Islands,LNG Tanker,Nihal
xbslba,29-10-1728,United States (USA),Container Ship,Kaus Australis
xymqnh,14-04-2010,China,Crude Oil Tanker,Marsic
xytmex,23-06-1627,Japan,Container Ship,Alya
gtoscg,10-01-2003,Canada,Container Ship,Taygeta
ktcvda,10-12-1889,Denmark,Container Ship,Zhang
grvrut,03-12-1982,Italy,Crude Oil Tanker,Talitha
qqsmek,04-06-1783,Canada,Container Ship,Elgafar
lpiawl,17-06-1624,Japan,Crude Oil Tanker,Merope
bjidvz,08-11-1671,Norway,Crude Oil Tanker,Grumium
yrooti,01-05-1677,Bulgaria,Bulk Carrier,Copernicus
dupmfu,16-03-1695,Canada,Crude Oil Tanker,Bellatrix
ntszso,20-05-1564,United States (USA),Bulk Carrier,Alruba
aplznw,04-11-1505,Iceland,Container Ship,Acrab
jjbzyf,11-10-1881,Japan,Bulk Carrier,Veritate
dsecmr,31-08-1768,Canada,LNG Tanker,Denebola
iixisf,18-06-1814,Netherlands,Crude Oil Tanker,Propus
svvnog,15-04-1761,Indonesia,Bulk Carrier,Asterope
qszopl,06-08-1825,Fiji,Bulk Carrier,Dalim
ekwzir,20-09-1507,Canada,LNG Tanker,Rigil Kentaurus
oxkpkn,17-12-1820,Montenegro,Container Ship,Merak
btkhsw,11-01-1963,Dominican Rep,Container Ship,Mira
atlzjg,14-10-1670,Bulgaria,Bulk Carrier,Mirzam
qknqzm,20-12-1562,Italy,Passenger (Cruise) Ship,Electra
qfeppy,01-08-1986,Portugal,LNG Tanker,Errai
eugxkw,08-06-1608,United Kingdom (UK),Crude Oil Tanker,Propus
rocmnj,04-10-1877,Chile,Crude Oil Tanker,Kaffaljidhma
vswhwc,11-11-1537,Puerto Rico,Container Ship,Aldhanab
ehntxu,27-08-1587,Japan,LNG Tanker,Grumium
dgejjq,17-06-1648,Brazil,Crude Oil Tanker,Terebellum
ownhic,23-10-1627,United Kingdom (UK),Container Ship,Aldhanab
mbpgvk,09-12-1830,Japan,Container Ship,Piautos
bsxdnc,18-02-1754,Japan,Container Ship,Rigil Kentaurus
rioxpa,23-01-1544,Norway,Bulk Carrier,Diadem
wyeqwc,13-10-1853,Japan,Bulk Carrier,Zhang
cqpfgt,12-09-1832,Indonesia,Container Ship,Veritate
kbfptz,03-11-1701,Japan,Crude Oil Tanker,Sadachbia
rurtnp,27-03-1645,Turkey,Container Ship,Nekkar
zlimpb,31-08-1657,United States (USA),Crude Oil Tanker,Situla
hnnzbo,16-12-1506,Spain,Crude Oil Tanker,Kochab
fmhdir,02-11-1529,Canada,Container Ship,Iklil
gjfrjh,19-09-1996,Portugal,Crude Oil Tanker,Kitalpha
bbsdrw,05-02-1728,Aruba,Bulk Carrier,Veritate
nusqiw,11-03-1877,United Kingdom (UK),Crude Oil Tanker,Ainalrami
weslyb,12-12-1766,Sweden,Container Ship,Angetenar
supsrp,27-02-1860,Norway,Crude Oil Tanker,Marfik
ngwoow,21-06-1977,Germany,Bulk Carrier,Sargas
eibvga,31-10-1551,Brazil,Bulk Carrier,Aladfar
hgavqa,06-05-1993,United States (USA),Container Ship,Taiyangshou
nbhbjz,18-09-1810,Dominican Rep,Bulk Carrier,Zubeneschamali
eopkab,22-04-1667,United Kingdom (UK),LNG Tanker,Piautos
qecchn,08-06-1749,Denmark,Crude Oil Tanker,Skat
qicmah,16-01-1980,Jamaica,Crude Oil Tanker,Atria
igbrrk,29-08-1717,United States (USA),Container Ship,Bharani
evztqd,24-08-1958,United States (USA),Passenger (Cruise) Ship,Taygeta
qoxkpf,07-04-1722,Australia,Container Ship,Avior
rufsvv,14-08-1990,Bulgaria,Bulk Carrier,Athebyne
qqvkdm,24-03-1879,United States (USA),Crude Oil Tanker,Libertas
ergqqf,29-03-1727,United Kingdom (UK),Crude Oil Tanker,Bunda
rigazo,29-02-1620,Croatia,Crude Oil Tanker,Mesarthim
ufqads,22-11-1573,Italy,LNG Tanker,Lesath
mttkcp,11-11-1661,Canada,LNG Tanker,Gacrux
nippag,24-01-1805,Fiji,Container Ship,Menkar
tnzoya,31-01-1849,Japan,Container Ship,Aspidiske
uorjvx,22-05-1839,Sweden,Container Ship,Meissa
vyaplc,10-01-1790,Canada,Crude Oil Tanker,Sabik
mmlkrs,10-12-1536,Papua New Guinea,Crude Oil Tanker,Cor Caroli
jcfgfv,15-11-1924,Croatia,Crude Oil Tanker,Pleione
douyxp,24-10-1925,Indonesia,Container Ship,Maasym
wosaqn,06-06-1920,Norway,LNG Tanker,Sadalbari
oijfkq,01-04-1957,Canada,Bulk Carrier,Aladfar
wckgfv,30-07-1822,Haiti,Bulk Carrier,Sirius
tuhtxu,23-09-1950,Sweden,Container Ship,Alterf
nldgaw,02-08-2002,Tunisia,Bulk Carrier,Albireo
tzlvek,01-12-1818,Greece,Bulk Carrier,Muliphein
vgvwtg,20-02-1612,United States (USA),Bulk Carrier,Kitalpha
otveoy,23-07-1713,Spain,Bulk Carrier,Vega
qiunwk,13-09-1631,Greece,Crude Oil Tanker,Nihal
wfcgpl,18-11-1998,Chile,Bulk Carrier,Fomalhaut
vfmmcl,22-09-1840,Egypt,Container Ship,Gacrux
flhpta,10-04-1613,United States (USA),LNG Tanker,Peacock
aljadf,27-07-1841,United States (USA),Bulk Carrier,Nunki
