Ship,Date,country,shiptype,captain_name
nbpqnu,25-12-2000,Greece,Container Ship,Misam
nfpsid,14-04-1800,Haiti,Container Ship,Mizar
uelgqf,26-11-1534,Canada,Passenger (Cruise) Ship,Mekbuda
jcfgfv,09-11-1870,Nauru,Container Ship,Sadr
rydixq,26-03-1662,Norway,LNG Tanker,Altair
jbwfxe,06-09-1730,United Kingdom (UK),Bulk Carrier,Castor
ntvwki,07-07-1631,Slovenia,Bulk Carrier,Alfirk
dlheyw,14-02-1622,United Kingdom (UK),Bulk Carrier,Albaldah
isqcdk,29-10-1719,United Kingdom (UK),Bulk Carrier,Titawin
lrwfii,21-05-1593,United Kingdom (UK),Bulk Carrier,Algorab
lfdmjr,13-12-1593,Indonesia,Offshore Support Vessel,Merope
abdqlj,21-02-1806,Iceland,Bulk Carrier,Secunda Hyadum
joncza,08-01-1954,Italy,Passenger (Cruise) Ship,Arkab Posterior
qoyaqv,18-04-1661,United Kingdom (UK),Passenger (Cruise) Ship,Giausar
gjhmww,22-03-1658,Spain,Bulk Carrier,Polis
mcvevp,16-04-1884,Sao Tome & Principe,LNG Tanker,Marfik
amxyst,10-03-1741,United Kingdom (UK),Bulk Carrier,Libertas
mlxvxp,29-04-1907,Russia,LNG Tanker,Miram
ysysou,02-08-1768,Netherlands,Crude Oil Tanker,Atik
eoiajg,12-08-1763,United States (USA),Crude Oil Tanker,Polaris
ofvrgu,07-11-1576,Germany,Crude Oil Tanker,Matar
rgupch,04-07-1543,Canada,Passenger (Cruise) Ship,Mirfak
gbmirc,24-03-1744,Canada,Container Ship,Acrux
tgdvcz,19-02-1811,Estonia,Container Ship,Beemim
eqoomh,08-07-1797,Spain,Container Ship,Alniyat
lqsujt,02-01-1631,Haiti,LNG Tanker,Ancha
spvasv,12-09-1882,United States (USA),Bulk Carrier,Alphecca
gsjhbr,05-07-1860,Portugal,Bulk Carrier,Sualocin
nfmdxr,27-08-1735,Sweden,Container Ship,Asterope
qluobf,26-03-1816,Japan,Crude Oil Tanker,Hamal
wegdis,04-11-1549,Iceland,Crude Oil Tanker,Alchiba
tgqydc,14-03-1614,United Kingdom (UK),Bulk Carrier,Brachium
zilfct,17-10-1571,Croatia,Crude Oil Tanker,Maia
qdpjbb,17-07-1983,United Kingdom (UK),Crude Oil Tanker,Algieba
ibcfmg,17-08-1726,Croatia,Passenger (Cruise) Ship,Rasalas
enbydz,22-10-1596,United States (USA),LNG Tanker,Wasat
xaczvw,12-01-1713,Solomon Islands,Bulk Carrier,Wasat
nkhqiy,10-12-1603,Iran,Bulk Carrier,Maia
gduazj,08-02-1796,Korea,LNG Tanker,Atria
ppzqjx,28-07-1977,United States (USA),Crude Oil Tanker,Guniibuu
unbiuq,04-10-1603,United Kingdom (UK),LNG Tanker,Rigel
vhdytn,01-01-1741,United Kingdom (UK),Crude Oil Tanker,Alkalurops
vdxwfd,26-11-1957,Canada,Bulk Carrier,Felis
mcujxn,15-02-1836,United States (USA),Crude Oil Tanker,Pherkad
hnibqp,14-06-1699,Aruba,LNG Tanker,Gacrux
eykjrr,05-08-1765,Croatia,Bulk Carrier,Dubhe
akfrjq,20-05-1922,Cuba,Bulk Carrier,Rigel
rbjpjw,05-08-1756,Cuba,Container Ship,Fafnir
cwheyo,16-12-1503,Netherlands,Bulk Carrier,Tegmine
dqhvue,06-01-1909,Greece,Container Ship,Hatysa
wywtia,20-01-1686,Greece,Bulk Carrier,Elgafar
fkbtrw,04-07-1946,Greece,Container Ship,Aldebaran
hrqgal,24-04-1849,Estonia,Container Ship,Unurgunite
jjbezn,29-11-1691,Greece,Bulk Carrier,Alterf
vxxild,15-09-1538,Greece,Bulk Carrier,Acrux
gxhfqk,14-05-1797,United Kingdom (UK),Passenger (Cruise) Ship,Rastaban
flsjck,26-12-1562,Italy,Container Ship,Alshat
sswxlk,04-02-2009,Bahamas,Bulk Carrier,Nunki
ybedxn,06-09-1730,Japan,Bulk Carrier,Alniyat
kfnesc,28-05-1873,Germany,Container Ship,Alioth
jkdifg,05-12-1678,Russia,Container Ship,Alsephina
ugsyaj,12-08-1763,Portugal,Container Ship,Alioth
nuxstk,03-10-1692,St Vincent & Grenadines,LNG Tanker,Lich
vyntgv,20-01-1821,Norway,Bulk Carrier,Mimosa
rpkqyn,10-11-1675,Japan,LNG Tanker,Arkab Posterior
iggzkz,07-06-1546,Turkey,Bulk Carrier,Adhafera
myhhxf,07-05-1752,Korea,Bulk Carrier,Aldebaran
oofghs,24-01-1505,Greece,Bulk Carrier,Ukdah
mqqtwy,04-01-1548,Portugal,Container Ship,Arneb
hmzezu,22-10-1510,Russia,Crude Oil Tanker,Alsafi
avnkey,04-09-1761,Russia,Container Ship,Alpherg
bmfvdy,24-05-1828,United States (USA),LNG Tanker,Tureis
ujazdf,17-11-1527,China,Crude Oil Tanker,Sadalsuud
fwytca,17-11-1676,Egypt,LNG Tanker,Bellatrix
gzegil,23-03-1845,Montenegro,Container Ship,Nihal
ndcybp,04-07-1586,Russia,Container Ship,Dziban
fuxqhc,30-05-1550,Japan,Bulk Carrier,Cursa
lwjptd,20-06-1552,Japan,Container Ship,Fawaris
eozkmr,22-01-1563,Japan,Container Ship,Xamidimura
bvbjcs,28-01-1789,Turkey,LNG Tanker,Subra
eipxmo,13-04-1668,Japan,Bulk Carrier,Canopus
rbxpjl,02-11-1795,Netherlands,Crude Oil Tanker,Sadalmelik
moazqk,21-03-1613,Faeroe Islands,LNG Tanker,Athebyne
pbfjdn,19-11-1525,United States (USA),Bulk Carrier,Wurren
bpiynj,15-03-1763,Portugal,Bulk Carrier,Sheratan
faenfb,14-11-1779,Montenegro,Container Ship,Merak
nivbfi,15-12-1811,Philippines,Bulk Carrier,Ancha
nfgdwc,20-07-1778,United Kingdom (UK),LNG Tanker,Electra
lnwkuo,18-07-1513,Puerto Rico,Container Ship,Sceptrum
camweb,26-08-1944,Turkey,Bulk Carrier,Alpheratz
lenmaw,03-10-1862,United States (USA),Crude Oil Tanker,Elkurud
qwssqd,30-11-1826,United Kingdom (UK),Bulk Carrier,Pleione
eacogt,05-10-1752,Fiji,Container Ship,Mirach
kunfen,14-02-1603,Denmark,LNG Tanker,Alcor
qvzehk,25-12-2000,China,Container Ship,Fuyue
umvuae,28-12-1603,Brazil,Crude Oil Tanker,Kornephoros
dodefg,20-07-1812,China,Bulk Carrier,Kurhah
ddabzj,24-07-2002,Malaysia,Container Ship,Nusakan
xjsnpg,14-03-1542,Greece,Bulk Carrier,Deneb Algedi
augqmp,24-03-1879,Canada,Container Ship,Beid
hdijll,30-09-1790,Japan,Passenger (Cruise) Ship,Bunda
jdcgxc,28-11-1708,China,Passenger (Cruise) Ship,Albireo
rczfcw,05-03-1795,United Arab Emirates (UAE),Bulk Carrier,Altais
rijgki,18-12-1883,Norway,Crude Oil Tanker,Miram
rioxpa,08-08-1757,Panama,Passenger (Cruise) Ship,Muphrid
inqkce,12-01-1513,Japan,Crude Oil Tanker,Alkalurops
xxnjac,22-08-1894,Puerto Rico,Container Ship,Kaus Borealis
dftzzf,11-05-1636,Sweden,Container Ship,Unukalhai
isgcqd,19-06-1882,Turkey,Passenger (Cruise) Ship,Pollux
gwdkyn,11-09-1514,Australia,Container Ship,Shaula
mdtmih,01-12-1639,Canada,Container Ship,Hassaleh
zsypzo,12-08-1790,Canada,Container Ship,Tiaki
fuxqhc,18-12-1880,Brazil,LNG Tanker,Eltanin
jizzbj,14-07-1830,Portugal,Container Ship,Alula Borealis
qnhcte,10-11-1845,Iceland,Bulk Carrier,Markab
djgfep,13-05-1580,Faeroe Islands,Container Ship,Mirfak
ocuauq,06-03-1876,United States (USA),LNG Tanker,Pleione
zcezms,17-09-1781,Indonesia,Bulk Carrier,Yildun
cpmmfu,24-04-1880,Norway,LNG Tanker,Aljanah
ovkyqn,04-06-1816,United Kingdom (UK),Bulk Carrier,Alioth
yvjvbo,13-01-1857,United States (USA),Bulk Carrier,Adhara
crfqlu,09-11-1976,Malaysia,Bulk Carrier,Gomeisa
shpsnu,05-05-1768,United Kingdom (UK),Container Ship,Azelfafage
yznquo,26-06-1674,Belgium,Crude Oil Tanker,Bharani
rlcfmb,19-04-1795,Iceland,Passenger (Cruise) Ship,Schedar
dyilzx,07-05-1707,Vietnam,Container Ship,Prima Hyadum
coxfwf,15-10-1877,United States (USA),Passenger (Cruise) Ship,Talitha
maaxzl,04-09-1845,New Caledonia,Container Ship,Yed Prior
rxbqlb,30-12-1583,Norway,Bulk Carrier,Rigil Kentaurus
zwphiu,01-02-1809,Sweden,Bulk Carrier,Athebyne
dbixea,01-04-1623,Netherlands,Crude Oil Tanker,Aldhanab
mxomem,28-04-1815,Finland,Bulk Carrier,Kurhah
pmakjs,21-08-1696,Aruba,Crude Oil Tanker,Altais
jbvsbw,29-08-1820,Isle of Man,Container Ship,Miram
iiuytl,27-05-1915,Germany,Crude Oil Tanker,Phact
hqsckx,31-01-1715,Sweden,LNG Tanker,Haedus
yctyki,03-11-1596,Indonesia,Container Ship,Nusakan
bmtbgb,25-11-1794,Cyprus,Crude Oil Tanker,Kurhah
lswvpc,29-06-1725,Estonia,Bulk Carrier,Aspidiske
hzudnt,09-12-1782,Sweden,Container Ship,Alzirr
ilhwwa,28-01-1955,Netherlands,Bulk Carrier,Alsciaukat
iadcvb,23-08-1997,Tunisia,LNG Tanker,Dubhe
dtomex,10-04-1898,Russia,Container Ship,Okab
nbetgs,07-05-1831,United Kingdom (UK),Container Ship,Deneb
uucjlr,06-10-1737,Solomon Islands,Container Ship,Nekkar
fdbwcq,30-06-1675,Norway,Container Ship,Adhil
dyddyh,13-12-1647,Australia,Crude Oil Tanker,Mirach
dvuphd,16-03-1954,Faeroe Islands,Container Ship,Alphecca
xedsua,24-05-1828,Brazil,Bulk Carrier,Alphecca
usdzyf,03-10-1909,Japan,Crude Oil Tanker,Alruba
xlyroh,01-10-1612,Finland,Container Ship,Markab
huevol,03-10-1526,Egypt,LNG Tanker,Kornephoros
afqefi,01-02-1781,Faeroe Islands,Container Ship,Alkalurops
wdzldi,22-07-1736,Sweden,Bulk Carrier,Minelauva
tirnke,07-09-1769,Japan,Container Ship,Zhang
sodnsw,28-05-1787,Norway,Bulk Carrier,Chertan
xdeluh,06-02-1775,Germany,Bulk Carrier,Theemin
lwvxut,11-04-1572,Germany,Bulk Carrier,Scheat
twntpk,04-10-1586,Tunisia,Crude Oil Tanker,Chertan
fialso,29-04-1773,Germany,Crude Oil Tanker,Aldebaran
ivgzsz,24-11-1820,Cyprus,Passenger (Cruise) Ship,Gacrux
ygngra,10-07-1623,Indonesia,LNG Tanker,Zaurak
jijcoa,04-07-1543,India,Bulk Carrier,Denebola
wkyimk,06-05-1993,Estonia,Container Ship,Marsic
cvidqc,18-04-1895,Poland,Container Ship,Sadachbia
xrndpc,20-08-1758,India,Bulk Carrier,Chara
szsfzb,25-10-1544,Norway,Container Ship,Ukdah
suaoil,25-03-1975,Netherlands,Bulk Carrier,Achird
nwnuhf,01-02-1515,Turkmenistan,Container Ship,Elnath
pswmte,08-01-1954,Madagascar,Container Ship,Brachium
qtcvis,24-02-1754,Papua New Guinea,LNG Tanker,Alcor
bpiqqy,22-04-1878,Norway,Bulk Carrier,Tureis
ukvwwe,28-06-1522,Portugal,Container Ship,Alzirr
cfsarh,24-10-1925,United Kingdom (UK),Container Ship,Mintaka
xyidft,18-06-1862,Norway,Container Ship,Cervantes
lcwfgw,17-08-1686,Angola,LNG Tanker,Schedar
rurzbi,02-02-1923,Bulgaria,Crude Oil Tanker,Chertan
xevtje,24-01-1632,Malaysia,Container Ship,Alniyat
uavlut,22-01-1611,South Africa,Container Ship,Meissa
zuhkav,08-03-1688,Norway,Passenger (Cruise) Ship,Jabbah
ldfmaq,16-01-1710,Spain,Crude Oil Tanker,Menkib
dvnnmx,22-07-1553,France,Crude Oil Tanker,Sirius
otrubb,21-04-1578,Japan,LNG Tanker,Veritate
rocjlv,25-04-1918,United States (USA),Container Ship,Sadachbia
assopa,08-07-1717,Canada,LNG Tanker,Heze
fucyxd,28-11-1715,United Kingdom (UK),Bulk Carrier,Shaula
ufqads,05-04-1658,Japan,Crude Oil Tanker,Toliman
wxdeid,22-08-1649,Norway,Bulk Carrier,Alsafi
yekcit,11-11-1944,United States (USA),Bulk Carrier,Alniyat
pktcto,31-12-1734,United States (USA),Crude Oil Tanker,Taiyi
bkgqzg,11-06-1659,Spain,Bulk Carrier,Saclateni
wkisem,03-11-1810,Sweden,Passenger (Cruise) Ship,Alzirr
hmuqco,28-03-1907,Faeroe Islands,Container Ship,Atik
zeszvw,13-01-1728,Spain,Bulk Carrier,Gomeisa
oxtjdl,30-03-1519,Japan,Container Ship,Angetenar
ahpvut,21-01-1627,Fiji,Container Ship,Capella
zfaozz,18-07-1788,Finland,Crude Oil Tanker,Rigel
eozkmr,07-01-1597,Russia,Passenger (Cruise) Ship,Aldulfin
fktdxu,19-12-1819,Netherlands,Bulk Carrier,Zubenelhakrabi
vrfjmq,18-10-1508,Cuba,LNG Tanker,Mothallah
agedow,15-08-1715,Japan,Container Ship,Chamukuy
fzvmpl,30-09-1993,Spain,Bulk Carrier,Menkalinan
stlula,11-04-1998,Libya,LNG Tanker,Markab
qpbjck,19-08-1571,United States (USA),LNG Tanker,Castor
bajwzn,17-05-1684,India,Bulk Carrier,Muphrid
xedsua,21-03-1826,Japan,Container Ship,Zavijava
ekjdrg,15-02-1750,United Kingdom (UK),Bulk Carrier,Situla
gyxlbb,26-10-1618,Croatia,Container Ship,Iklil
nivbfi,04-11-1884,France,Bulk Carrier,Secunda Hyadum
fdaqvz,20-09-1863,United States (USA),Container Ship,Keid
zckxbd,13-02-1945,China,Passenger (Cruise) Ship,Rasalgethi
emzxsq,28-11-1826,United Kingdom (UK),Bulk Carrier,Wurren
ldulil,21-02-1905,Greece,Crude Oil Tanker,Cervantes
lsrwgq,03-11-1810,Greece,Bulk Carrier,Diphda
isgcqd,21-11-1759,China,LNG Tanker,Procyon
qyhzud,24-10-1925,Brazil,Bulk Carrier,Sham
xpeccm,24-06-1913,United States (USA),Bulk Carrier,Eltanin
hdpigy,22-09-1840,Faeroe Islands,Crude Oil Tanker,Pherkad
hyzroo,09-02-1807,Indonesia,Crude Oil Tanker,Castula
mylidu,06-01-1824,United States (USA),Crude Oil Tanker,Jabbah
usjbsf,17-07-1662,Brazil,Crude Oil Tanker,Zavijava
wkzgol,20-01-1821,Mauritius,Container Ship,Cujam
fgmwrj,05-07-1684,United Kingdom (UK),Bulk Carrier,Albali
qiofqn,30-08-1634,United Kingdom (UK),Crude Oil Tanker,Alhena
bxxeyj,29-12-2007,Papua New Guinea,Container Ship,Fafnir
fdyyjw,15-10-1770,Germany,Container Ship,Alshain
nfgdwc,03-10-1633,United States (USA),Container Ship,Suhail
cbtxgv,02-09-1804,Malaysia,Crude Oil Tanker,Sadr
bknyrw,02-08-1566,Croatia,LNG Tanker,Ran
fxocjq,19-01-1661,United States (USA),Container Ship,Ain
rqvvmi,28-11-1550,India,Bulk Carrier,Tiaki
vfnbkd,16-06-1672,United Kingdom (UK),LNG Tanker,Veritate
wlvmeo,16-03-1601,United States (USA),LNG Tanker,Kang
smzkvt,14-06-1831,Japan,Crude Oil Tanker,Maia
flhpta,13-05-1528,United States (USA),Bulk Carrier,Piautos
eooidw,15-09-1532,Solomon Islands,Bulk Carrier,Electra
aqcqlt,18-02-1647,Chile,Crude Oil Tanker,Azmidi
whkbns,12-07-1724,Libya,Container Ship,Arcturus
typbha,26-08-1871,Canada,Container Ship,Ashlesha
aygcww,15-12-1772,Denmark,Bulk Carrier,Menkalinan
rmnpss,17-09-1540,Sweden,Container Ship,Atria
efthem,05-10-1879,South Africa,Crude Oil Tanker,Mizar
roclaw,25-11-1557,Mexico,Bulk Carrier,Gudja
bfpaio,17-02-1790,Japan,Bulk Carrier,Tania Borealis
qglbgy,01-01-1615,Turkey,Passenger (Cruise) Ship,Hadar
lvanjq,06-06-1684,Faeroe Islands,Passenger (Cruise) Ship,Edasich
exdkyv,17-06-1655,United States (USA),Bulk Carrier,Capella
vsuwqc,30-07-1822,Portugal,Bulk Carrier,Dabih
zmeomt,21-12-1984,United States (USA),Container Ship,Capella
ydyrbp,21-12-1760,United Kingdom (UK),Container Ship,Bunda
vorhgx,22-08-1563,Japan,Container Ship,Porrima
vxfdew,20-03-1948,Japan,Crude Oil Tanker,Celaeno
xzqkac,23-01-1643,Denmark,Crude Oil Tanker,Zubenelhakrabi
jthqmd,09-03-1740,United Kingdom (UK),Passenger (Cruise) Ship,Elgafar
qybuqk,23-06-1947,Canada,Bulk Carrier,Muphrid
wxrpya,11-07-1943,Chile,Bulk Carrier,Heze
nezvcs,10-03-1628,Brazil,Container Ship,Nekkar
bdfjca,31-05-1740,Norway,Passenger (Cruise) Ship,Albali
stwcme,06-12-1648,Korea,Container Ship,Mesarthim
dbwroz,08-10-1811,Estonia,Container Ship,Tejat
wjhwiw,20-09-1905,Chile,Container Ship,Rastaban
doqyeb,02-03-1941,Philippines,Crude Oil Tanker,Chamukuy
zgjntb,15-08-1754,India,Crude Oil Tanker,Izar
tcayxp,22-06-1569,Canada,Crude Oil Tanker,Zubeneschamali
lbwbvd,11-10-1815,United Kingdom (UK),Container Ship,Chalawan
imznvs,09-03-1900,Iceland,Crude Oil Tanker,Chalawan
noqaze,20-08-1758,Greece,Bulk Carrier,Khambalia
byrqhc,02-12-1618,Iran,Bulk Carrier,Minelauva
udhtbo,21-10-1719,United States (USA),LNG Tanker,Bharani
iyujam,08-06-1524,Bahamas,Passenger (Cruise) Ship,Algol
marmzw,15-12-1839,Isle of Man,Crude Oil Tanker,Fulu
ixwbcs,25-11-1761,Papua New Guinea,Container Ship,Mirach
gtoscg,16-07-1665,Japan,Container Ship,Chertan
misprd,14-08-1903,Italy,Crude Oil Tanker,Muphrid
jaygwq,28-02-1786,Canada,LNG Tanker,Aljanah
fuxvmm,09-03-1789,Italy,Passenger (Cruise) Ship,Fang
pktreq,12-06-1596,New Zealand,Container Ship,Bharani
cemftq,22-09-1840,Denmark,Container Ship,Okab
avnkey,07-07-1840,United Kingdom (UK),Bulk Carrier,Gacrux
lsleqe,10-10-1733,Indonesia,Container Ship,Alpherg
bpbrri,21-05-1520,Sweden,Bulk Carrier,Rasalas
nfayne,31-03-1917,Japan,Crude Oil Tanker,Propus
kxvltx,27-06-1859,Sweden,Bulk Carrier,Polis
ngwoow,08-07-1900,Spain,Container Ship,Tonatiuh
cutgyo,25-12-1541,Japan,Crude Oil Tanker,Rigil Kentaurus
wuarvy,09-12-1922,United Kingdom (UK),Bulk Carrier,Bellatrix
nswpfn,12-01-1558,Egypt,Container Ship,Regulus
ajuvqu,17-11-1659,Netherlands,FSO,Athebyne
nnydnk,13-08-1706,Japan,Container Ship,Ashlesha
fgmwrj,15-08-1586,Dominican Rep,Container Ship,Tarf
lrjsfe,09-02-1768,Egypt,Bulk Carrier,Ukdah
todutz,15-12-1562,Greece,Passenger (Cruise) Ship,Menkent
kdzekq,21-04-2009,Brazil,Bulk Carrier,Ancha
vwsenn,29-07-2001,Canada,LNG Tanker,Zavijava
afqefi,08-10-1726,United Kingdom (UK),Bulk Carrier,Minchir
fialso,12-08-1629,United States (USA),Bulk Carrier,Alpherg
wlwyvk,20-05-1585,Canada,Bulk Carrier,Vega
bjfcbp,25-03-1975,Faeroe Islands,LNG Tanker,Kraz
wwrxqf,29-04-1845,United Kingdom (UK),Container Ship,Porrima
jfmzex,21-09-1589,Norway,Container Ship,Sheratan
fhgign,19-04-1976,India,Container Ship,Zosma
nidsup,07-03-1946,United States (USA),Bulk Carrier,Tureis
ysehqs,29-09-1747,Montenegro,Bulk Carrier,Kaus Australis
bycelq,03-03-1505,Indonesia,Crude Oil Tanker,Proxima Centauri
fvjrvm,01-12-1528,Montenegro,LNG Tanker,Alpheratz
alafpc,29-10-1659,Sweden,Container Ship,Torcular
cjabnf,11-08-1994,Iceland,Container Ship,Sheliak
enieri,26-07-1816,Canada,Bulk Carrier,Mothallah
hupelu,16-03-1601,Denmark,Bulk Carrier,Misam
rikhmn,16-08-1951,United Kingdom (UK),LNG Tanker,Beemim
wdweag,28-06-1993,Brazil,FSO,Markab
uccluy,04-11-1854,Indonesia,Container Ship,Mahasim
fdoolw,07-11-1892,Norway,LNG Tanker,Mothallah
snjyej,31-03-1615,United States (USA),Crude Oil Tanker,Meleph
opdcua,01-01-2005,Papua New Guinea,Container Ship,Minelauva
urwbhe,16-07-1810,Vietnam,Bulk Carrier,Azelfafage
okkdcp,01-09-1935,Croatia,Crude Oil Tanker,Acamar
awqzaa,18-07-1807,Greece,Container Ship,Pherkad
icdjpv,03-05-1752,Indonesia,LNG Tanker,Tegmine
yvwjxq,21-04-1540,Indonesia,Bulk Carrier,Ran
leifop,25-03-1613,Montenegro,Bulk Carrier,Algedi
zqlkpx,22-01-1979,Greece,Crude Oil Tanker,Tegmine
ohoofy,24-03-1511,United States (USA),LNG Tanker,Mimosa
waifdt,03-03-1931,Canada,Crude Oil Tanker,Procyon
xvbsut,02-02-1925,Turkey,Bulk Carrier,Botein
stqvfd,12-07-1765,Denmark,Bulk Carrier,Zibal
dtunir,03-01-1506,Spain,Container Ship,Pollux
hnibqp,01-04-1696,Russia,Crude Oil Tanker,Cebalrai
yxxbax,24-02-1538,United States (USA),Crude Oil Tanker,Izar
nwgbzw,27-07-1912,United States (USA),Bulk Carrier,Prima Hyadum
dhvxfe,02-01-1670,United States (USA),Crude Oil Tanker,Zubenelhakrabi
dneobk,10-02-1844,United Kingdom (UK),Bulk Carrier,Rigil Kentaurus
thjvsc,27-08-1587,Canada,Bulk Carrier,Tejat
cgbloe,21-01-1757,United States (USA),Container Ship,Saclateni
hkpafv,05-12-1928,Isle of Man,Container Ship,Miaplacidus
iafvaz,02-09-1779,United States (USA),Passenger (Cruise) Ship,Alkalurops
bcwmmb,18-04-1895,United States (USA),Bulk Carrier,Taiyangshou
svnfuu,20-10-1760,Canada,Crude Oil Tanker,Suhail
nonfam,29-08-1578,Dominican Rep,Passenger (Cruise) Ship,Mira
riqbnb,09-01-1832,Italy,Crude Oil Tanker,Giausar
bzruge,25-02-1579,United States (USA),Container Ship,Fulu
hjdcit,23-04-1541,United Kingdom (UK),LNG Tanker,Aspidiske
jxvayl,15-11-1739,Germany,Container Ship,Acamar
xuzzfr,19-11-1875,Papua New Guinea,Container Ship,Acrab
notsei,24-09-1700,Canada,Bulk Carrier,Cursa
flxxbi,27-02-1771,United Kingdom (UK),Bulk Carrier,Regulus
zlfopi,04-06-1783,Sweden,Crude Oil Tanker,Nusakan
swdsbc,27-12-1560,Japan,Bulk Carrier,Propus
bpiqqy,23-01-1732,United Arab Emirates (UAE),Crude Oil Tanker,Angetenar
rdvute,23-02-1945,South Africa,Bulk Carrier,Minelauva
giwwvh,30-04-1795,United Kingdom (UK),Bulk Carrier,Alula Australis
hmuqco,10-03-1748,United States (USA),Container Ship,Rasalgethi
odnjgp,05-11-1716,Croatia,Bulk Carrier,Imai
nggquf,07-02-1584,United States (USA),Bulk Carrier,Miram
yioimg,16-06-1532,Finland,Bulk Carrier,Procyon
gwuhjb,26-12-1505,United Kingdom (UK),Bulk Carrier,Gienah
ftuahc,16-07-1670,Croatia,Container Ship,Castula
puyrgb,15-07-1922,St Vincent & Grenadines,Container Ship,Talitha
eacogt,07-11-1583,Egypt,LNG Tanker,Capella
ppynvs,12-08-1652,United Kingdom (UK),LNG Tanker,Merope
woxtxa,07-03-1667,Australia,LNG Tanker,Avior
gwslaf,14-04-1747,United States (USA),LNG Tanker,Alcyone
hrwsvw,10-09-1669,St Vincent & Grenadines,Container Ship,Titawin
cbowvh,24-08-1619,United States (USA),Container Ship,Sceptrum
jarhlw,16-07-1734,United Kingdom (UK),Bulk Carrier,La Superba
wmoent,08-11-1604,Libya,Bulk Carrier,Albaldah
ddwkql,16-07-1732,Brazil,Container Ship,Altair
kjtftb,25-03-1897,China,Bulk Carrier,Sadalbari
zoaeay,11-04-1730,India,LNG Tanker,Acubens
fwailg,03-10-1813,Sweden,Container Ship,Proxima Centauri
bodgxa,12-01-1947,Canada,FSO,Polis
zyvmbj,10-07-1597,United States (USA),LNG Tanker,Guniibuu
uaolmo,20-07-1535,Greece,Bulk Carrier,Sualocin
wpmofx,06-08-1840,Nicaragua,Container Ship,Barnard’s Star
brefrd,13-12-1774,Angola,Crude Oil Tanker,Cursa
qqkuet,14-08-1692,Turkey,Bulk Carrier,Beid
lwvxut,22-03-1642,Sweden,Bulk Carrier,Skat
fzzvsy,28-04-1843,Norway,Crude Oil Tanker,Meleph
opdvha,15-02-1979,Netherlands,LNG Tanker,Kaus Borealis
nbmdpq,24-08-1631,Canada,Crude Oil Tanker,Kaffaljidhma
rdvute,25-09-1784,Chile,Bulk Carrier,Alula Borealis
onantd,11-08-1740,Philippines,Bulk Carrier,Khambalia
exdkyv,10-09-1750,Germany,Bulk Carrier,Alpheratz
pqogrh,20-06-1842,Bulgaria,Bulk Carrier,Minchir
caoqym,31-12-1833,Germany,Container Ship,Menkalinan
qekkpt,23-10-2009,India,Passenger (Cruise) Ship,Betelgeuse
wckgfv,10-08-1790,United Kingdom (UK),Bulk Carrier,Theemin
tegban,16-03-1993,United States (USA),Container Ship,Chertan
luihtr,08-03-1945,Sweden,Crude Oil Tanker,Caph
juozzt,29-01-1509,Faeroe Islands,Container Ship,Kitalpha
stimvv,24-11-1835,Faeroe Islands,Container Ship,Beid
aeatyx,17-03-1528,Turkey,Crude Oil Tanker,Biham
dgkozr,18-09-1913,Netherlands,Bulk Carrier,Zosma
ykmyom,16-11-1660,Solomon Islands,Container Ship,Tejat
jeaiun,03-03-1600,Estonia,Bulk Carrier,Kaffaljidhma
hciyob,06-07-1859,Finland,Bulk Carrier,Nashira
xjyxjp,05-08-1560,Greece,Crude Oil Tanker,Antares
zayobv,12-05-1731,Greece,Bulk Carrier,Praecipua
hcaefo,05-02-1895,Chile,Bulk Carrier,Libertas
pwakwo,12-04-1564,Japan,Bulk Carrier,Ukdah
kjaojr,06-05-1605,Greece,Container Ship,Antares
onvmvk,08-05-1676,Croatia,Bulk Carrier,Alfirk
yynptx,10-12-1578,Iceland,LNG Tanker,Zibal
osspzu,15-02-1937,United Kingdom (UK),Crude Oil Tanker,Tureis
ofvjnd,20-03-1653,Argentina,LNG Tanker,Wezen
uucjlr,15-04-1924,Turkey,Bulk Carrier,Wasat
kyeukn,03-10-1862,Japan,Bulk Carrier,Zubenelgenubi
vqbszl,27-07-1840,United Arab Emirates (UAE),LNG Tanker,Wezen
etmcqt,18-05-1586,Germany,Container Ship,Furud
bpiynj,25-11-1931,Egypt,Crude Oil Tanker,Pleione
gxhfqk,06-09-1773,Canada,Crude Oil Tanker,Elnath
prpibw,12-01-1517,Chile,Passenger (Cruise) Ship,Dubhe
qktfew,22-10-1510,Sweden,Bulk Carrier,Kraz
lskddx,09-11-1843,Greece,Crude Oil Tanker,Alkarab
vqgrax,16-07-1810,Papua New Guinea,LNG Tanker,Ruchbah
adpayh,09-03-1507,Germany,Bulk Carrier,Chalawan
wnnigv,12-03-1922,Turkey,Bulk Carrier,Ginan
enlwjo,04-07-1696,Greece,Passenger (Cruise) Ship,Elkurud
cjuwey,12-11-1613,United Kingdom (UK),Container Ship,Libertas
pntczc,27-01-1628,Brazil,Bulk Carrier,Tianguan
gfuwqg,07-07-1774,Norway,LNG Tanker,Homam
ofuhco,10-01-1799,United States (USA),Crude Oil Tanker,Procyon
mctvsf,31-08-1793,Thailand,LNG Tanker,Jishui
tjahtc,11-03-1714,Germany,Crude Oil Tanker,Subra
vefjjl,08-03-1553,Norway,Crude Oil Tanker,Haedus
rfozrw,13-09-1554,United Kingdom (UK),Container Ship,Ankaa
